"","V1","V2","V3","V4","V5"
"1",0.603896103896104,0.0714285714285714,0.0909090909090909,0.136363636363636,0.0974025974025974
"2",0.189189189189189,0.25,0.256756756756757,0.135135135135135,0.168918918918919
"3",0.145161290322581,0.17741935483871,0.153225806451613,0.201612903225806,0.32258064516129
"4",0.198895027624309,0.198895027624309,0.348066298342541,0.143646408839779,0.110497237569061
"5",0.246575342465753,0.102739726027397,0.191780821917808,0.219178082191781,0.23972602739726
"6",0.61038961038961,0.0714285714285714,0.0909090909090909,0.136363636363636,0.0909090909090909
"7",0.208791208791209,0.164835164835165,0.21978021978022,0.197802197802198,0.208791208791209
"8",0.104247104247104,0.108108108108108,0.482625482625483,0.158301158301158,0.146718146718147
"9",0.109090909090909,0.518181818181818,0.127272727272727,0.145454545454545,0.1
"10",0.23728813559322,0.177966101694915,0.220338983050847,0.186440677966102,0.177966101694915
"11",0.19811320754717,0.169811320754717,0.207547169811321,0.188679245283019,0.235849056603774
"12",0.1,0.6375,0.1,0.1,0.0625
"13",0.103448275862069,0.126436781609195,0.373563218390805,0.17816091954023,0.218390804597701
"14",0.174193548387097,0.238709677419355,0.258064516129032,0.148387096774194,0.180645161290323
"15",0.116279069767442,0.13953488372093,0.319767441860465,0.244186046511628,0.180232558139535
"16",0.106666666666667,0.2,0.213333333333333,0.26,0.22
"17",0.268571428571429,0.171428571428571,0.274285714285714,0.171428571428571,0.114285714285714
"18",0.160919540229885,0.137931034482759,0.459770114942529,0.118773946360153,0.122605363984674
"19",0.144329896907216,0.247422680412371,0.164948453608247,0.298969072164948,0.144329896907216
"20",0.159663865546218,0.411764705882353,0.134453781512605,0.19327731092437,0.100840336134454
"21",0.152,0.152,0.288,0.2,0.208
"22",0.126953125,0.2890625,0.302734375,0.123046875,0.158203125
"23",0.116666666666667,0.166666666666667,0.25,0.191666666666667,0.275
"24",0.178571428571429,0.2,0.307142857142857,0.15,0.164285714285714
"25",0.0918367346938776,0.244897959183673,0.147959183673469,0.13265306122449,0.38265306122449
"26",0.0963855421686747,0.108433734939759,0.0843373493975904,0.108433734939759,0.602409638554217
"27",0.118556701030928,0.608247422680412,0.108247422680412,0.077319587628866,0.0876288659793814
"28",0.192513368983957,0.262032085561497,0.219251336898396,0.101604278074866,0.224598930481283
"29",0.0792079207920792,0.161716171617162,0.458745874587459,0.135313531353135,0.165016501650165
"30",0.252747252747253,0.274725274725275,0.153846153846154,0.236263736263736,0.0824175824175824
"31",0.170940170940171,0.170940170940171,0.264957264957265,0.170940170940171,0.222222222222222
"32",0.111111111111111,0.161111111111111,0.327777777777778,0.227777777777778,0.172222222222222
"33",0.132183908045977,0.201149425287356,0.155172413793103,0.183908045977011,0.327586206896552
"34",0.140127388535032,0.312101910828025,0.101910828025478,0.210191082802548,0.235668789808917
"35",0.0981132075471698,0.328301886792453,0.19622641509434,0.166037735849057,0.211320754716981
"36",0.205357142857143,0.196428571428571,0.160714285714286,0.258928571428571,0.178571428571429
"37",0.163398692810458,0.150326797385621,0.189542483660131,0.313725490196078,0.183006535947712
"38",0.648854961832061,0.106870229007634,0.0763358778625954,0.0763358778625954,0.0916030534351145
"39",0.1,0.65,0.075,0.09375,0.08125
"40",0.21551724137931,0.163793103448276,0.275862068965517,0.189655172413793,0.155172413793103
"41",0.175182481751825,0.430656934306569,0.116788321167883,0.145985401459854,0.131386861313869
