"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0909090909090909,0.0324675324675325,0.0454545454545455,0.038961038961039,0.558441558441558,0.0454545454545455,0.051948051948052,0.0584415584415584,0.0454545454545455,0.0324675324675325
"2",0.0945945945945946,0.128378378378378,0.189189189189189,0.162162162162162,0.0608108108108108,0.0675675675675676,0.0810810810810811,0.0608108108108108,0.0675675675675676,0.0878378378378378
"3",0.0725806451612903,0.0887096774193548,0.0564516129032258,0.0887096774193548,0.0645161290322581,0.104838709677419,0.0887096774193548,0.0645161290322581,0.169354838709677,0.201612903225806
"4",0.0662983425414365,0.270718232044199,0.132596685082873,0.0939226519337017,0.0662983425414365,0.110497237569061,0.0773480662983425,0.0607734806629834,0.0662983425414365,0.0552486187845304
"5",0.0958904109589041,0.0410958904109589,0.10958904109589,0.0547945205479452,0.0958904109589041,0.10958904109589,0.0821917808219178,0.0547945205479452,0.0753424657534247,0.280821917808219
"6",0.103896103896104,0.0324675324675325,0.038961038961039,0.038961038961039,0.538961038961039,0.0649350649350649,0.0584415584415584,0.051948051948052,0.038961038961039,0.0324675324675325
"7",0.0989010989010989,0.0879120879120879,0.131868131868132,0.0659340659340659,0.0989010989010989,0.0769230769230769,0.10989010989011,0.0659340659340659,0.131868131868132,0.131868131868132
"8",0.0463320463320463,0.378378378378378,0.0463320463320463,0.0424710424710425,0.138996138996139,0.0347490347490347,0.0501930501930502,0.0772200772200772,0.0694980694980695,0.115830115830116
"9",0.0409090909090909,0.0545454545454545,0.0363636363636364,0.568181818181818,0.0318181818181818,0.0727272727272727,0.05,0.0363636363636364,0.05,0.0590909090909091
"10",0.0847457627118644,0.186440677966102,0.0932203389830508,0.0677966101694915,0.101694915254237,0.135593220338983,0.110169491525424,0.076271186440678,0.0932203389830508,0.0508474576271186
"11",0.0943396226415094,0.122641509433962,0.0754716981132075,0.113207547169811,0.0849056603773585,0.0849056603773585,0.0566037735849057,0.141509433962264,0.122641509433962,0.10377358490566
"12",0.04375,0.03125,0.63125,0.05,0.03125,0.04375,0.05,0.05,0.0375,0.03125
"13",0.0632183908045977,0.137931034482759,0.103448275862069,0.0517241379310345,0.0804597701149425,0.17816091954023,0.149425287356322,0.0574712643678161,0.0862068965517241,0.0919540229885057
"14",0.0967741935483871,0.193548387096774,0.116129032258065,0.148387096774194,0.0387096774193548,0.0516129032258065,0.0774193548387097,0.0709677419354839,0.103225806451613,0.103225806451613
"15",0.0755813953488372,0.22093023255814,0.0465116279069767,0.0406976744186047,0.0930232558139535,0.145348837209302,0.127906976744186,0.104651162790698,0.0697674418604651,0.0755813953488372
"16",0.04,0.106666666666667,0.0666666666666667,0.0666666666666667,0.06,0.193333333333333,0.146666666666667,0.12,0.0933333333333333,0.106666666666667
"17",0.131428571428571,0.16,0.108571428571429,0.0742857142857143,0.0971428571428571,0.148571428571429,0.0971428571428571,0.08,0.0628571428571429,0.04
"18",0.118773946360153,0.390804597701149,0.0689655172413793,0.0881226053639847,0.0306513409961686,0.0613026819923372,0.0613026819923372,0.0421455938697318,0.0919540229885057,0.0459770114942529
